2025-11-28 14:56:11,173 - INFO - Starting the embedding process...
2025-11-28 14:56:11,173 - INFO - Using device: cpu
2025-11-28 14:56:11,268 - INFO - Loaded 68876 sequences from data/train/human_full.fasta
2025-11-28 14:56:11,268 - INFO - Loading model: Rostlab/prot_t5_xl_half_uniref50-enc
2025-11-28 14:56:12,810 - INFO - Casting model to full precision for CPU...
2025-11-28 14:56:13,179 - INFO - Total sequences: 68876
2025-11-28 14:56:13,201 - INFO - Average sequence length: 442.2514954410825
2025-11-28 14:56:13,201 - INFO - Number of sequences > 1000: 6087
2025-11-28 14:56:26,289 - INFO - Processed sequence ID: index-51139, Length: 10
2025-11-28 14:56:26,373 - INFO - Processed sequence ID: index-51670, Length: 10
2025-11-28 14:56:26,457 - INFO - Processed sequence ID: index-52308, Length: 10
2025-11-28 14:56:26,542 - INFO - Processed sequence ID: index-52446, Length: 10
2025-11-28 14:56:26,626 - INFO - Processed sequence ID: index-53463, Length: 10
2025-11-28 14:56:26,711 - INFO - Processed sequence ID: index-56027, Length: 10
2025-11-28 14:56:26,795 - INFO - Processed sequence ID: index-56211, Length: 10
2025-11-28 14:56:26,887 - INFO - Processed sequence ID: index-56844, Length: 10
2025-11-28 14:56:26,977 - INFO - Processed sequence ID: index-61448, Length: 10
2025-11-28 14:56:27,061 - INFO - Processed sequence ID: index-62514, Length: 10
2025-11-28 14:56:27,144 - INFO - Processed sequence ID: index-62543, Length: 10
2025-11-28 14:56:27,228 - INFO - Processed sequence ID: index-63802, Length: 10
2025-11-28 14:56:27,313 - INFO - Processed sequence ID: index-31891, Length: 11
2025-11-28 14:56:27,398 - INFO - Processed sequence ID: index-32792, Length: 11
2025-11-28 14:56:27,482 - INFO - Processed sequence ID: index-37855, Length: 11
2025-11-28 14:56:27,567 - INFO - Processed sequence ID: index-38585, Length: 11
2025-11-28 14:56:27,652 - INFO - Processed sequence ID: index-39124, Length: 11
2025-11-28 14:56:27,737 - INFO - Processed sequence ID: index-39790, Length: 11
2025-11-28 14:56:27,821 - INFO - Processed sequence ID: index-39809, Length: 11
2025-11-28 14:56:27,906 - INFO - Processed sequence ID: index-42162, Length: 11
2025-11-28 14:56:27,990 - INFO - Processed sequence ID: index-44410, Length: 11
2025-11-28 14:56:28,075 - INFO - Processed sequence ID: index-44625, Length: 11
2025-11-28 14:56:28,165 - INFO - Processed sequence ID: index-48958, Length: 11
2025-11-28 14:56:28,259 - INFO - Processed sequence ID: index-49290, Length: 11
2025-11-28 14:56:28,344 - INFO - Processed sequence ID: index-53420, Length: 11
2025-11-28 14:56:28,428 - INFO - Processed sequence ID: index-54644, Length: 11
2025-11-28 14:56:28,512 - INFO - Processed sequence ID: index-54846, Length: 11
2025-11-28 14:56:28,596 - INFO - Processed sequence ID: index-55965, Length: 11
2025-11-28 14:56:28,681 - INFO - Processed sequence ID: index-56205, Length: 11
2025-11-28 14:56:28,765 - INFO - Processed sequence ID: index-57588, Length: 11
2025-11-28 14:56:28,849 - INFO - Processed sequence ID: index-58074, Length: 11
2025-11-28 14:56:28,933 - INFO - Processed sequence ID: index-58543, Length: 11
2025-11-28 14:56:29,018 - INFO - Processed sequence ID: index-58779, Length: 11
2025-11-28 14:56:29,102 - INFO - Processed sequence ID: index-59390, Length: 11
2025-11-28 14:56:29,187 - INFO - Processed sequence ID: index-59796, Length: 11
2025-11-28 14:56:29,272 - INFO - Processed sequence ID: index-62391, Length: 11
2025-11-28 14:56:29,358 - INFO - Processed sequence ID: index-63423, Length: 11
2025-11-28 14:56:29,457 - INFO - Processed sequence ID: index-25671, Length: 12
2025-11-28 14:56:29,554 - INFO - Processed sequence ID: index-25793, Length: 12
2025-11-28 14:56:29,643 - INFO - Processed sequence ID: index-29200, Length: 12
2025-11-28 14:56:29,732 - INFO - Processed sequence ID: index-29897, Length: 12
2025-11-28 14:56:29,820 - INFO - Processed sequence ID: index-37154, Length: 12
2025-11-28 14:56:29,909 - INFO - Processed sequence ID: index-41372, Length: 12
2025-11-28 14:56:29,998 - INFO - Processed sequence ID: index-44164, Length: 12
2025-11-28 14:56:30,087 - INFO - Processed sequence ID: index-46282, Length: 12
2025-11-28 14:56:30,176 - INFO - Processed sequence ID: index-47603, Length: 12
2025-11-28 14:56:30,266 - INFO - Processed sequence ID: index-55656, Length: 12
2025-11-28 14:56:30,354 - INFO - Processed sequence ID: index-55934, Length: 12
2025-11-28 14:56:30,430 - INFO - Processed sequence ID: index-57852, Length: 12
2025-11-28 14:56:30,505 - INFO - Processed sequence ID: index-57946, Length: 12
2025-11-28 14:56:30,579 - INFO - Processed sequence ID: index-59621, Length: 12
2025-11-28 14:56:30,654 - INFO - Processed sequence ID: index-60005, Length: 12
2025-11-28 14:56:30,733 - INFO - Processed sequence ID: index-60319, Length: 12
2025-11-28 14:56:30,809 - INFO - Processed sequence ID: index-61290, Length: 12
2025-11-28 14:56:30,885 - INFO - Processed sequence ID: index-61725, Length: 12
2025-11-28 14:56:30,962 - INFO - Processed sequence ID: index-62379, Length: 12
2025-11-28 14:56:31,038 - INFO - Processed sequence ID: index-62718, Length: 12
2025-11-28 14:56:31,112 - INFO - Processed sequence ID: index-63806, Length: 12
2025-11-28 14:56:31,186 - INFO - Processed sequence ID: index-64276, Length: 12
2025-11-28 14:56:31,260 - INFO - Processed sequence ID: index-66452, Length: 12
2025-11-28 14:56:31,335 - INFO - Processed sequence ID: index-66684, Length: 12
2025-11-28 14:56:31,411 - INFO - Processed sequence ID: index-19095, Length: 13
2025-11-28 14:56:31,487 - INFO - Processed sequence ID: index-27128, Length: 13
2025-11-28 14:56:31,562 - INFO - Processed sequence ID: index-27889, Length: 13
2025-11-28 14:56:31,638 - INFO - Processed sequence ID: index-34300, Length: 13
2025-11-28 14:56:31,713 - INFO - Processed sequence ID: index-36277, Length: 13
2025-11-28 14:56:31,789 - INFO - Processed sequence ID: index-37552, Length: 13
2025-11-28 14:56:31,864 - INFO - Processed sequence ID: index-40503, Length: 13
2025-11-28 14:56:31,940 - INFO - Processed sequence ID: index-40574, Length: 13
2025-11-28 14:56:32,016 - INFO - Processed sequence ID: index-40824, Length: 13
2025-11-28 14:56:32,094 - INFO - Processed sequence ID: index-42138, Length: 13
2025-11-28 14:56:32,170 - INFO - Processed sequence ID: index-42466, Length: 13
